,year,keywords,title,author
61,2020,"0805 Elementary and secondary education, EDUCATION, 0810 Post-secondary education, EDUCATION, 0815 Informal education, EDUCATION, 0845 Instructional tools, EDUCATION",{Exploring the Southeastern United States Seismicity and Structure with Virtual Reality},"{Cunningham}, E. and {Kyriakopoulos}, C."
62,2002,"4219 Continental shelf processes, 4255 Numerical modeling, 4294 Instruments and techniques, 4594 Instruments and techniques, 9820 Techniques applicable in three or more fields",{Recent Advances in Immersive Visualization of Ocean Data: Virtual Reality Through the Web on Your Laptop Computer},"{Hermann}, A.~J. and {Moore}, C. and {Soreide}, N.~N."
63,2023,,{Immersive Insights: Enhancing Climate Change Awareness among Undergraduate Psychology Students through Virtual Reality},"{Howard}, Allison and {Bernardes}, Sergio"
64,2019,"0850 Geoscience education research, EDUCATION, 9820 Techniques applicable in three or more fields, GENERAL OR MISCELLANEOUS, 1992 Virtual globes, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Virtual Reality Interfacing \& Machine Learning Segmentation for 3D LiDAR Point Clouds: A Case Study on Australian and New Zealand Forest Regions.},"{Garske}, S."
65,2016,"1630 Impacts of global change, GLOBAL CHANGEDE: 4327 Resilience, NATURAL HAZARDSDE: 4329 Sustainable development, NATURAL HAZARDSDE: 6334 Regional planning, POLICY SCIENCES",{Bringing home sustainability and climate change research and developments via on-line virtual reality},"{Granshaw}, F.~D."
66,2016,"1916 Data and information discovery, INFORMATICSDE: 1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1928 GIS science, INFORMATICS",{New Dimensions of GIS Data: Exploring Virtual Reality (VR) Technology for Earth Science},"{Skolnik}, S. and {Ramirez-Linan}, R."
67,2021,,{Pilot Desktop and Immersive Virtual Reality Field Trip Study of Coastal Maine Indicates Equivalent Student Learning Outcomes and High Engagement},"{Baughman}, Jaclyn and {Donnelly}, Matthew and {Nebuwa}, Adaobi and {Doore}, Stacy"
68,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Toward a Universal Workbench for Visualization and Quantitative Exploration of Earth Science Data in Immersive Virtual Reality},"{Zhao}, J. and {Wallgruen}, J.~O. and {La Femina}, P.~C. and {DiBiase}, R.~A. and {Carr}, J.~C. and {Klippel}, A."
69,2015,,{Visualization of High-Dimensionality Data Using Virtual Reality},"{Djorgovski}, S.~G. and {Donalek}, C. and {Davidoff}, S. and {Lombeyda}, S."
70,2015,,{Mobile Virtual Reality : A Solution for Big Data Visualization},"{Marshall}, E. and {Seichter}, N.~D. and {D'sa}, A. and {Werner}, L.~A. and {Yuen}, D.~A."
71,2024,,{Visualizing Types of Lightning in the Atmosphere using Virtual Reality},"{Gevorgyan}, Areg and {Fang}, Guangyang and {Figueroa}, Damian and {Rudlosky}, Scott D."
72,2022,,{Visualization of Earthquake Dynamic Rupture using Virtual Reality},"{Kyriakopoulos}, Christodoulos"
73,2017,"0845 Instructional tools, EDUCATION, 0850 Geoscience education research, EDUCATION, 1916 Data and information discovery, INFORMATICS, 1994 Visualization and portrayal, INFORMATICS",{Stepping Into Science Data: Data Visualization in Virtual Reality},"{Skolnik}, S."
74,2023,,{Visualizing Ice Sheets in Extended Reality (VISER) for the Improvement of Polar Data Analysis},"{Cordero}, S. Isabel and {Boghosian}, Alexandra and {Salzman}, Joel and {Ashikin}, Qazi and {Tinto}, Kirsty J. and {Feiner}, Steven and {Bell}, Robin Elizabeth"
75,2024,,{Visualizing Stages of the Earth's Water Cycle Using Virtual Reality},"{Wiggins}, Samuel and {Fang}, Guangyang and {Figueroa}, Damian and {Rudlosky}, Scott D."
76,2018,"0805 Elementary and secondary education, EDUCATIONDE: 0815 Informal education, EDUCATIONDE: 0845 Instructional tools, EDUCATIONDE: 0850 Geoscience education research, EDUCATION",{Developing An Immersive Virtual Reality Environment to Explore the Lehigh Gap},"{Bodzin}, A. and {Anastasio}, D.~J. and {Vallera}, F. and {Hammond}, T. and {Rutzmoser}, S. and {Junior}, R.~M.~D.~A."
77,2018,"1920 Emerging informatics technologies, INFORMATICSDE: 1926 Geospatial, INFORMATICSDE: 1992 Virtual globes, INFORMATICSDE: 1994 Visualization and portrayal, INFORMATICS",{Visualizations of Volumetric Datasets in Virtual Reality: Benefits and Constraints},"{Boyer}, K. and {Olano}, M. and {Savani}, N. and {Young}, C.~A. and {Stephenson}, B.~E."
78,2005,"7800 SPACE PLASMA PHYSICS, 7833 Mathematical and numerical techniques (0500, 3200), 7835 Magnetic reconnection (2723, 7526), 7959 Models, 7974 Solar effects",{A Study of IMF's Penetration of the Earth's Magetotail via 3-D Global MHD Simulations and Virtual Reality System},"{Matsuoka}, D. and {Murata}, K.~T. and {Fujita}, S. and {Tanaka}, T. and {Matsumoto}, H. and {Omura}, Y."
79,2020,"0810 Post-secondary education, EDUCATION, 0820 Curriculum and laboratory design, EDUCATION, 0840 Evaluation and assessment, EDUCATION, 0845 Instructional tools, EDUCATION",{Using Immersive Technologies to Teach Advanced STEM Concepts in Engineering Education},"{Ilie}, R. and {D'Angelo}, C.~M. and {Shaffer}, E. and {Kudeki}, E. and {Lin}, M.~Y. and {Coiado}, O. and {Wagner}, L.~K."
80,2023,,{Interactive Visualization of Tsunami Hazards for Stakeholder Education},"{Lynett}, Patrick J."
81,2016,"0820 Curriculum and laboratory design, EDUCATIONDE: 0825 Teaching methods, EDUCATIONDE: 0850 Geoscience education research, EDUCATIONDE: 1824 Geomorphology: general, HYDROLOGY",{Teaching Basic Field Skills Using Screen-Based Virtual Reality Landscapes},"{Houghton}, J. and {Robinson}, A. and {Gordon}, C. and {Lloyd}, G.~E.~E. and {Morgan}, D.~J."
